CompanyId,Name_company,Sector,Location
1,"Global Tech Innovations","Technology","San Francisco"
2,"Health Solutions Group","Healthcare","New York"
3,"EcoEnergy Corp","Energy","Austin"
4,"FinancePro Services","Finance","Chicago"
5,"Creative Media Agency","Media","Los Angeles"
6,"Smart Logistics Inc","Logistics","Seattle"
7,"Future Foods Ltd","Food & Beverage","Portland"
8,"Digital Marketing Experts","Marketing","Miami"
9,"AgriTech Ventures","Agriculture","Denver"
10,"Cloud Services Co","Cloud Computing","Boston"
11,"CyberSecure Solutions","Cybersecurity","Washington D.C."
12,"Education First LLC","Education","Atlanta"
13,"Travel Smart Agency","Travel & Tourism","Orlando"
14,"NextGen Retailers","Retail","Dallas"
15,"Green Building Co","Construction","Phoenix"
16,"AeroDynamics Inc","Aerospace","Tampa"
17,"BioHealth Technologies","Biotechnology","Philadelphia"
18,"AI Innovators Group","Artificial Intelligence","Raleigh"
19,"Blockchain Consulting","Consulting","San Diego"
20,"Pet Wellness Enterprises","Pet Care","San Jose"
